id;estado;setor;faturamento_informado;divida_total_pj;score;taxa;atraso_corrente;prazo;valor_contrato;valor_contrato_mais_juros;valor_em_aberto
13036;SP;SERVICOS DIVERSOS;15000;26000;418;5,145;0;12,6;11097,198;13505,64;0
15663;PR;SERVICOS DIVERSOS;12000;0;392;6,174;0;12,6;5548,8405;7186,56;0
16312;SP;SERVICOS DE ALOJAMENTO/ALIMENTACAO;450000;107000;269;4,8615;0;4,2;21454,293;23109,44;0
23224;SP;ATACADO;70000;10000;645;4,5885;0;12,6;13316,499;15704,4;0
31219;AM;VAREJO;12000;0;294;5,25;0;12,6;5548,7355;6811,92;0
33176;PR;VAREJO;130000;159000;658;4,0635;1233;12,6;22194,6165;25467,24;10566,08
54750;SP;ATACADO;500000;2145000;309;3,843;0;15,75;84831,1695;99252;0
108118;SP;SERVICOS ADMINISTRATIVOS;40000;0;364;4,9245;0;6,3;10819,5045;12135,12;0
126751;RN;SERVICOS DE ALOJAMENTO/ALIMENTACAO;55000;0;184;6,5205;587;12,6;11098,689;14853,84;4594,19
135474;GO;SERVICOS DIVERSOS;46000;0;446;4,3995;0;6,3;10818,8115;11821,38;0
156156;SC;INDUSTRIA DA CONSTRUCAO;30000;5000;274;5,922;0;12,6;11157,0165;14034,96;0
166037;SP;SERVICOS PROFISSIONAIS E TECNICOS;15000;0;601;4,3785;0;3,15;5341,014;5616,84;0
172182;RJ;INDUSTRIA DA CONSTRUCAO;120000;96000;187;4,473;1077;12,6;33474,273;39101,4;36530,51
173651;SP;INDUSTRIA DA CONSTRUCAO;150000;0;241;4,851;0;12,6;20082,6255;23849,64;0
180405;CE;SIDERURGICA-METALURGIA;120000;32000;545;4,0635;0;12,6;51585,24;58984,08;0
12571;SP;VAREJO;20000;33000;712;4,578;0;6,3;5408,6655;5865,72;0
14217;RJ;INDUSTRIA DA CONSTRUCAO;14000;0;310;5,712;0;6,3;2169,5625;2402,82;0
17385;SP;SERVICOS PROFISSIONAIS E TECNICOS;120000;14000;421;4,683;0;12,6;22321,047;26597,88;0
19665;SP;INDUSTRIA DA CONSTRUCAO;30000;7000;509;4,851;0;12,6;11097,0405;13271,4;0
30359;SP;VAREJO;30000;0;330;5,019;0;8,4;5455,59;6286,16;0
34266;SP;SERVICOS DE EDUCACAO;69000;6000;541;3,7695;0;18,9;34140,519;41446,44;0
38566;SP;BENS DE CONSUMO;60000;0;225;4,9455;0;6,3;10816,554;11779,08;0
40845;MG;VAREJO;80000;82000;440;4,032;0;12,6;22195,635;25544,64;0
58181;RJ;ATACADO;75000;0;205;4,9665;0;6,3;5408,1195;5874,12;0
64275;RJ;VAREJO;50000;5000;187;5,8905;0;6,3;21632,562;24190,92;0
67180;MT;VAREJO;60000;67000;366;4,704;0;12,6;11097,2715;13194,12;0
76324;SP;SERVICOS DE SAUDE;70000;56000;606;4,032;0;12,6;27896,2845;31818,84;0
93574;AL;SERVICOS DIVERSOS;35000;26000;438;5,0295;0;12,6;6658,344;8056,44;0
95939;SC;VAREJO;200000;369000;310;4,011;0;6,3;37990,1235;40619,28;0
98343;SP;SERVICOS PROFISSIONAIS E TECNICOS;30000;35000;653;4,389;0;12,6;8877,7815;10370,16;0
